route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
28,28-Saturday-1-21FAL-0000010,2734352,Fairway Station,1,308852,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734353,Fairway Station,1,308852,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734354,Fairway Station,1,308849,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734355,Stanley Park,0,305170,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734356,Fairway Station,1,305170,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737031,Stanley Park,0,308874,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737032,Stanley Park,0,308872,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737033,Stanley Park,0,308876,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737034,Stanley Park,0,308870,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737035,Stanley Park,0,308873,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737036,Stanley Park,0,308871,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737037,Stanley Park,0,308875,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737038,Stanley Park,0,308874,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737039,Stanley Park,0,308872,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737040,Stanley Park,0,308876,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737041,Stanley Park,0,308870,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737042,Stanley Park,0,308873,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737043,Stanley Park,0,308871,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737044,Stanley Park,0,308875,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737045,Stanley Park,0,308874,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737046,Stanley Park,0,308872,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737047,Stanley Park,0,308876,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737048,Stanley Park,0,308870,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737049,Stanley Park,0,308873,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737050,Stanley Park,0,308871,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737051,Stanley Park,0,308875,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737052,Stanley Park,0,308874,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737053,Stanley Park,0,308872,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737054,Stanley Park,0,308876,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737055,Stanley Park,0,308870,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737056,Stanley Park,0,308873,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737057,Stanley Park,0,308871,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737058,Stanley Park,0,308875,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737059,Stanley Park,0,308874,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737060,Stanley Park,0,308872,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737061,Stanley Park,0,308876,280007,1,1
28,28-Sunday-1-21FAL-0000001,2737062,Fairway Station,1,308874,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737063,Fairway Station,1,308872,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737064,Fairway Station,1,308876,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737065,Fairway Station,1,308870,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737066,Fairway Station,1,308873,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737067,Fairway Station,1,308871,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737068,Fairway Station,1,308875,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737069,Fairway Station,1,308874,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737070,Fairway Station,1,308872,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737071,Fairway Station,1,308876,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737072,Fairway Station,1,308870,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737073,Fairway Station,1,308873,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737074,Fairway Station,1,308871,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737075,Fairway Station,1,308875,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737076,Fairway Station,1,308874,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737077,Fairway Station,1,308872,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737078,Fairway Station,1,308876,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737079,Fairway Station,1,308870,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737080,Fairway Station,1,308873,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737081,Fairway Station,1,308871,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737082,Fairway Station,1,308875,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737083,Fairway Station,1,308874,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737084,Fairway Station,1,308872,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737085,Fairway Station,1,308876,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737086,Fairway Station,1,308870,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737087,Fairway Station,1,308873,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737088,Fairway Station,1,308871,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737089,Fairway Station,1,308875,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737090,Fairway Station,1,308874,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737091,Fairway Station,1,308872,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737092,Fairway Station,1,308876,280008,1,1
28,28-Sunday-1-21FAL-0000001,2737093,Stanley Park,0,308870,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729924,Stanley Park,0,309899,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729925,Stanley Park,0,309900,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729926,Stanley Park,0,309898,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729927,Stanley Park,0,309901,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729928,Stanley Park,0,309897,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729929,Stanley Park,0,309999,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729930,Stanley Park,0,309899,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729931,Stanley Park,0,309900,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729932,Stanley Park,0,309898,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729933,Stanley Park,0,309901,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729934,Stanley Park,0,309897,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729935,Stanley Park,0,309999,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729936,Stanley Park,0,309899,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729937,Stanley Park,0,309900,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729938,Stanley Park,0,309898,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729939,Stanley Park,0,309901,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729940,Stanley Park,0,309897,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729941,Stanley Park,0,309999,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729942,Stanley Park,0,309899,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729943,Stanley Park,0,309900,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729944,Stanley Park,0,309898,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729945,Stanley Park,0,309901,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729946,Stanley Park,0,309897,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729947,Stanley Park,0,309999,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729948,Stanley Park,0,309899,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729949,Stanley Park,0,309900,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729950,Stanley Park,0,309898,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729951,Stanley Park,0,309901,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729952,Stanley Park,0,309897,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729953,Stanley Park,0,309999,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729954,Stanley Park,0,309899,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729955,Stanley Park,0,309900,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729956,Stanley Park,0,309898,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729957,Stanley Park,0,309901,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729958,Stanley Park,0,309901,280007,1,1
28,28-Weekday-1-21FAL-1111100,2729959,Fairway Station,1,309899,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729960,Fairway Station,1,309900,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729961,Fairway Station,1,309898,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729962,Fairway Station,1,309901,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729963,Fairway Station,1,309897,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729964,Fairway Station,1,309999,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729965,Fairway Station,1,309899,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729966,Fairway Station,1,309900,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729967,Fairway Station,1,309898,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729968,Fairway Station,1,309901,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729969,Fairway Station,1,309897,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729970,Fairway Station,1,309999,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729971,Fairway Station,1,309899,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729972,Fairway Station,1,309900,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729973,Fairway Station,1,309898,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729974,Fairway Station,1,309901,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729975,Fairway Station,1,309897,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729976,Fairway Station,1,309999,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729977,Fairway Station,1,309899,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729978,Fairway Station,1,309900,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729979,Fairway Station,1,309898,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729980,Fairway Station,1,309901,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729981,Fairway Station,1,309897,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729982,Fairway Station,1,309999,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729983,Fairway Station,1,309899,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729984,Fairway Station,1,309900,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729985,Fairway Station,1,309898,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729986,Fairway Station,1,309901,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729987,Fairway Station,1,309897,280008,1,1
28,28-Weekday-1-21FAL-1111100,2729988,Fairway Station,1,309999,280008,1,1
